source,source_type,property_type,scope,area_m2,low_czk,high_czk,low_czk_m2,high_czk_m2,region,includes,excludes,source_url,verified_at,note
RENOVIU,company realization calculator,byt-panel,kompletní,75,975000,1350000,13000,18000,ČR,"bytové jádro; kompletní rozvody; dispoziční změny; nová okna","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-cihla,kompletní,75,1125000,1650000,15000,22000,ČR,"kompletní rekonstrukce cihlového bytu","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,standardní,95,760000,1140000,8000,12000,ČR,"nová kuchyň; koupelna; podlahy; elektroinstalace v místnostech","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,kompletní,95,1235000,1710000,13000,18000,ČR,"bytové jádro; kompletní rozvody; dispoziční změny; nová okna","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-cihla,kompletní,95,1425000,2090000,15000,22000,ČR,"kompletní rekonstrukce cihlového bytu","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
Stavební středisko,regional guide,byt,kompletní,60,840000,1320000,14000,22000,Liberecko,"kompletní rekonstrukce","konkrétní vybavení a atypické práce dle projektu",https://www.stavebnistredisko.cz/poradna/kolik-stoji-rekonstrukce-bytu/,2026-08-19,ceny včetně DPH 12 % dle zdroje
StavDAM,company realization guide,byt,povrchy,60,480000,720000,8000,12000,Praha a okolí,"podlahy; malby; povrchy","rozvody; dispozice",https://stavdam.cz/blog/ceny-rekonstrukci-2026,2026-08-19,regionální realizace 2024–2026
StavDAM,company realization guide,byt,kompletní,60,1110000,1500000,18500,25000,Praha a okolí,"kompletní rekonstrukce na klíč; rozvody","kuchyňská linka; sanitární vybavení a nábytek dle souvisejícího ceníku",https://stavdam.cz/blog/ceny-rekonstrukci-2026,2026-08-19,regionální realizace 2024–2026
StavDAM,company realization guide,dům,interiér a rozvody,120,1680000,2640000,14000,22000,Praha a okolí,"kompletní přestavba domu na klíč","nová fasáda; nová střecha",https://stavdam.cz/blog/rekonstrukce-za-m2,2026-08-19,veřejná regionální reference
Pan Stavitel,editorial model,dům,kompletní starší dům,120,1800000,3700000,15000,30833,ČR,"statika; střecha; okna; fasáda; elektro; voda; topení; interiér",neuvedeno,https://www.panstavitel.cz/stavba-rekonstrukce/rekonstrukce-stareho-domu-2026-kolik-realne-stoji-kompletni-renovace-rodinneho-domu/,2026-08-19,modelový příklad 120 m²
